"","LL07","LL09","LL11","LL08","LL10","LL12","LL13","LL15","LL17","LL14","LL16","LL18"
"ENSLAIG00005000047",9.58819531919649,10.800028775461,7.57338289279997,13.7984952561749,6.07281740902305,5.77930065918574,10.7707983016958,9.98397672293051,3.04835357136564,10.0447036229708,6.69435410802213,0
"ENSLAIG00005000048",66.7004891770191,45.0783809758373,50.2597228340361,59.905662331686,57.4581954853719,49.846468185477,41.2880601565005,89.8557905063746,57.9187178559472,71.5685133136671,108.78325425536,66.3821573983722
"ENSLAIG00005000049",104.219514339092,118.800316530071,142.517296255418,123.849908640789,109.777853163109,109.806712524529,78.9858542124358,109.823743952236,112.789082140529,86.6355687481233,82.0058378232711,131.062208196786
"ENSLAIG00005000050",63.7823427755245,19.2522252084305,34.4244676945453,50.8188483824976,18.2184522270691,10.113776153575,50.2637254079137,9.98397672293051,18.2901214281939,40.1788144918833,43.5133017021439,28.9358121992904
"ENSLAIG00005000051",4.16878057356369,3.28696527948814,6.88489353890906,2.69238931827802,7.47423681110529,6.50171324158396,12.5659313519784,6.65598448195367,9.14506071409693,16.3226433873276,5.0207655810166,0
"ENSLAIG00005000052",9.17131726184012,5.16523115348136,5.50791483112725,5.38477863655604,1.86855920277632,17.3379019775572,23.3367296536742,9.98397672293051,6.09670714273129,50.2235181148541,20.0830623240664,18.7231725995409
"ENSLAIG00005000054",308.90664050107,244.174563619119,536.333206681016,330.827337483412,249.919793371333,489.073318283593,430.831932067832,306.175286169869,506.026692846697,523.580176347354,143.928613322476,551.482538386476
"ENSLAIG00005000055",88.7950262169066,53.5305774088068,33.0474889867635,57.8863703429774,75.209507911747,35.3982165375126,14.3610644022611,33.2799224097684,33.5318892850221,18.8338192930703,43.5133017021439,28.9358121992904
"ENSLAIG00005000056",1603.72988664995,1175.79443711976,904.67501101265,1286.28899680732,1063.67732618042,822.82793135157,928.083786996121,712.190339569043,768.185099984142,1135.0515093957,438.48019407545,937.860736577002
"ENSLAIG00005000057",2.50126834413822,1.87826587399322,0,1.68274332392376,1.86855920277632,0,25.1318627039569,3.32799224097684,0,27.6229349631698,31.7981820131051,3.40421319991652
"ENSLAIG00005000058",0.416878057356369,0,1.37697870778181,0,0,3.61206291199109,7.18053220113053,0,3.04835357136564,13.8114674815849,0,1.70210659995826
