	LL07	LL09	LL11	LL08	LL10	LL12
ENSLAIG00005000146	1160	3439	1847	2055	3634	1424
ENSLAIG00005000147	2725	2567	821	3404	2509	697
ENSLAIG00005000148	0	0	0	0	2	1
ENSLAIG00005000149	357	398	258	508	405	260
ENSLAIG00005000150	0	0	0	1	1	0
ENSLAIG00005000151	457	485	380	511	455	339
ENSLAIG00005000152	0	0	42	0	26	56
ENSLAIG00005000153	1965	2112	1411	2649	2243	1373
ENSLAIG00005000154	7	3	13	9	6	6
ENSLAIG00005000155	658	462	376	802	658	303
ENSLAIG00005000156	16898	15076	10557	19927	13137	10047
ENSLAIG00005000157	0	5	3	0	0	3
ENSLAIG00005000158	361	228	256	360	235	256
ENSLAIG00005000159	1159	1716	200	1559	2290	239
ENSLAIG00005000160	1024	1278	664	1541	1152	593
ENSLAIG00005000161	87	155	130	144	168	186
ENSLAIG00005000162	465	1834	361	650	3376	293
ENSLAIG00005000164	1207	2149	969	2314	2641	741
ENSLAIG00005000165	90	60	16	76	56	7
ENSLAIG00005000166	14	24	13	14	25	10
ENSLAIG00005000167	5	3	3	8	7	3
ENSLAIG00005000168	342	371	209	467	337	196
ENSLAIG00005000169	82	20	9	86	15	8
ENSLAIG00005000170	337	272	186	373	290	144
ENSLAIG00005000171	24	13	75	30	24	129
ENSLAIG00005000172	2	1	2	4	3	1
ENSLAIG00005000173	2840	1981	1896	3314	1654	1836
ENSLAIG00005000174	369	199	516	244	146	354
ENSLAIG00005000175	1051	912	1252	1137	1452	1249
ENSLAIG00005000176	5182	1765	1965	6369	1270	1217
ENSLAIG00005000178	16	15	17	28	13	19
ENSLAIG00005000179	15	44	99	24	47	112
ENSLAIG00005000180	0	0	0	0	0	0
ENSLAIG00005000181	15162	12374	6187	14984	8518	5345
ENSLAIG00005000182	217	96	87	206	80	84
ENSLAIG00005000184	1	0	3	2	0	0
ENSLAIG00005000185	348	334	167	462	351	191
ENSLAIG00005000186	656	594	457	888	683	487
ENSLAIG00005000187	5200	2484	885	5262	2154	749
ENSLAIG00005000188	278	348	60	289	497	62
ENSLAIG00005000189	1235	1256	615	1521	1224	471
ENSLAIG00005000190	0	1	3	0	1	9
ENSLAIG00005000191	4	1	2	6	6	0
ENSLAIG00005000192	0	0	0	0	0	0
ENSLAIG00005000193	0	0	402	0	0	203
ENSLAIG00005000194	17	7	14	10	9	6
ENSLAIG00005000195	16	18	9	14	12	9
ENSLAIG00005000196	781	613	409	973	669	369
ENSLAIG00005000197	656	616	333	809	627	389
ENSLAIG00005000198	5676	5186	3082	6672	4910	2664
ENSLAIG00005000199	270	261	210	311	253	209
ENSLAIG00005000200	885	2007	1773	1347	2065	1781
ENSLAIG00005000201	675	748	576	987	847	484
ENSLAIG00005000202	909	1961	33	2178	1593	30
ENSLAIG00005000203	3275	5270	1040	4266	4974	917
ENSLAIG00005000205	161	173	166	248	230	117
ENSLAIG00005000206	16841	16599	9567	22277	13911	8402
ENSLAIG00005000207	6840	5767	1718	8835	6073	1771
ENSLAIG00005000208	272	160	1941	638	134	1912
ENSLAIG00005000209	1352	1593	2096	1818	1916	2058
ENSLAIG00005000210	38	49	8	88	51	4
ENSLAIG00005000211	541	667	929	853	741	981
ENSLAIG00005000212	1612	1912	1589	2566	1867	1353
ENSLAIG00005000215	2	9	9	3	11	5
ENSLAIG00005000217	7551	7810	3177	7840	7070	2884
ENSLAIG00005000218	2036	2285	1109	2756	2119	1031
ENSLAIG00005000219	21	6	9	21	6	6
ENSLAIG00005000220	7	12	16	16	8	13
ENSLAIG00005000221	1227	1209	657	1524	1308	534
ENSLAIG00005000222	89	62	48	97	53	22
ENSLAIG00005000223	10	8	6	3	7	40
ENSLAIG00005000224	1	6	0	3	4	0
ENSLAIG00005000226	0	0	0	0	0	0
ENSLAIG00005000227	398	258	137	399	252	128
ENSLAIG00005000228	6518	6747	5356	9185	5948	5499
ENSLAIG00005000229	258	193	98	317	212	112
ENSLAIG00005000231	0	0	6	0	1	12
ENSLAIG00005000232	3481	1983	1327	3671	1709	1403
ENSLAIG00005000233	17	7	14	24	6	12
ENSLAIG00005000234	169	218	163	183	205	158
ENSLAIG00005000235	9258	3018	1744	7645	3356	1586
ENSLAIG00005000236	0	0	9	0	0	2
ENSLAIG00005000237	0	0	0	0	0	0
ENSLAIG00005000238	287	319	270	366	316	264
ENSLAIG00005000239	2102	1981	1086	3222	2058	888
ENSLAIG00005000240	2470	2985	2170	4521	3308	1729
ENSLAIG00005000241	4158	5293	1639	4538	5074	1449
ENSLAIG00005000242	3	2	6	1	7	10
ENSLAIG00005000243	54	56	24	79	60	36
ENSLAIG00005000244	1364	944	1283	1435	990	1329
ENSLAIG00005000245	122	111	108	182	99	125
ENSLAIG00005000246	0	0	0	0	0	1
ENSLAIG00005000247	173	59	174	110	37	158
ENSLAIG00005000248	378	222	212	343	222	202
ENSLAIG00005000250	1077	1373	734	1317	1373	741
ENSLAIG00005000251	0	0	0	0	0	0
ENSLAIG00005000252	2015	2296	614	2811	2644	611
ENSLAIG00005000253	0	1	0	0	0	2
ENSLAIG00005000254	59	141	31	98	137	20
ENSLAIG00005000256	5	4	4	5	11	3
ENSLAIG00005000257	450	380	232	537	450	243
ENSLAIG00005000258	0	1	0	0	1	0
ENSLAIG00005000259	0	0	858	0	0	237
ENSLAIG00005000260	0	0	4	2	0	0
ENSLAIG00005000261	756	539	391	812	558	384
ENSLAIG00005000262	102808	30695	23073	78326	22667	19515
ENSLAIG00005000263	163	194	192	182	181	179
ENSLAIG00005000264	2227	2446	1356	2385	2788	1342
ENSLAIG00005000265	7	8	23	35	10	8
ENSLAIG00005000267	352	1126	113	381	882	98
ENSLAIG00005000268	445	326	220	411	287	183
ENSLAIG00005000269	1022	300	1415	1147	218	1226
ENSLAIG00005000270	461	1163	52	730	1082	71
ENSLAIG00005000272	5	2	125	4	6	201
ENSLAIG00005000273	9	12	18	16	6	19
ENSLAIG00005000274	0	0	0	0	0	0
ENSLAIG00005000275	1826	1232	670	2123	1371	660
ENSLAIG00005000276	551	423	413	659	515	409
ENSLAIG00005000279	154	167	88	254	124	77
ENSLAIG00005000282	94	108	63	127	94	104
ENSLAIG00005000286	9	6	10	10	3	8
ENSLAIG00005000287	101	50	324	142	53	320
ENSLAIG00005000290	0	1	0	0	0	0
ENSLAIG00005000292	141	156	171	172	175	122
ENSLAIG00005000293	23	12	9	16	19	7
ENSLAIG00005000295	0	0	0	1	1	0
ENSLAIG00005000297	187	124	229	238	91	235
ENSLAIG00005000303	144	132	141	182	141	133
ENSLAIG00005000304	0	0	1	3	3	0
ENSLAIG00005000308	0	0	2	0	0	0
ENSLAIG00005000312	801	1879	235	1442	1862	154
ENSLAIG00005000313	1	3	3	9	0	0
ENSLAIG00005000315	65	41	51	74	35	53
ENSLAIG00005000319	289	594	384	485	529	349
ENSLAIG00005000320	2132	1053	640	2473	925	474
ENSLAIG00005000321	0	4	836	0	4	765
ENSLAIG00005000322	2	0	2	0	1	1
ENSLAIG00005000324	1926	2738	2984	2096	2704	1615
ENSLAIG00005000326	215	242	120	255	293	126
ENSLAIG00005000331	1974	3394	1197	3202	4931	1052
ENSLAIG00005000333	0	1	0	0	0	0
ENSLAIG00005000338	25599	2768	1350	18978	1866	1779
ENSLAIG00005000340	880	626	435	1038	580	282
ENSLAIG00005000343	1	2	23	2	2	5
ENSLAIG00005000344	260	257	207	320	221	171
ENSLAIG00005000347	0	0	0	0	0	0
ENSLAIG00005000348	62	284	38	52	296	44
ENSLAIG00005000350	110	56	69	155	82	84
ENSLAIG00005000351	0	1	0	3	0	0
ENSLAIG00005000353	672	692	447	842	612	358
ENSLAIG00005000356	612	611	297	775	499	329
ENSLAIG00005000357	4876	4576	2316	8038	4388	1821
ENSLAIG00005000360	26	23	26	23	20	42
ENSLAIG00005000363	3	7	5	19	25	3
ENSLAIG00005000365	278	243	144	370	266	202
ENSLAIG00005000366	594	466	239	647	487	280
ENSLAIG00005000367	195	94	62	262	105	85
ENSLAIG00005000369	0	13	13	2	8	5
ENSLAIG00005000370	221	216	64	298	172	65
ENSLAIG00005000371	343	348	260	478	366	335
ENSLAIG00005000373	0	0	0	0	3	0
ENSLAIG00005000374	0	0	0	0	0	1
ENSLAIG00005000375	215	183	167	210	158	170
ENSLAIG00005000377	1	2	1	0	0	0
ENSLAIG00005000378	1	0	1	0	1	0
ENSLAIG00005000381	4907	5310	7773	7267	7852	5130
ENSLAIG00005000382	663	434	256	814	507	298
ENSLAIG00005000383	6	35	0	31	48	0
ENSLAIG00005000384	75	85	53	98	60	33
ENSLAIG00005000386	0	0	0	0	0	0
ENSLAIG00005000387	15531	11969	11900	18105	10677	10942
ENSLAIG00005000389	2	2	2	1	2	1
ENSLAIG00005000390	160	108	80	200	98	106
