	LL07	LL09	LL11	LL08	LL10	LL12
ENSLAIG00005001617	0	0	0	0	0	0
ENSLAIG00005001618	18	11	68	22	13	87
ENSLAIG00005001619	2	1	0	1	0	1
ENSLAIG00005001620	4237	3393	3041	5268	3453	2199
ENSLAIG00005001621	0	0	0	0	0	0
ENSLAIG00005001623	691	547	416	652	449	412
ENSLAIG00005001624	40	34	13	25	17	16
ENSLAIG00005001625	272	366	278	382	361	312
ENSLAIG00005001626	1367	1486	874	2102	1568	753
ENSLAIG00005001627	1442	1296	648	1768	1223	683
ENSLAIG00005001628	3335	4613	2662	5938	5514	2257
ENSLAIG00005001629	14217	12634	654	16889	13867	586
ENSLAIG00005001630	2038	2614	2778	2864	2530	2979
ENSLAIG00005001632	734	561	413	932	571	476
ENSLAIG00005001633	0	5	0	6	2	0
ENSLAIG00005001634	5	1	5	3	6	3
ENSLAIG00005001635	19	24	35	32	6	15
ENSLAIG00005001636	373	395	228	529	406	201
ENSLAIG00005001637	403	296	212	419	278	191
ENSLAIG00005001638	0	0	0	0	0	0
ENSLAIG00005001641	1477	1528	1672	1961	1457	1146
ENSLAIG00005001642	0	1	0	0	2	0
ENSLAIG00005001644	474	362	243	487	357	299
ENSLAIG00005001645	2188	2264	1448	2365	2358	1351
ENSLAIG00005001646	7660	7504	4645	12943	8125	4031
ENSLAIG00005001647	0	0	0	0	0	0
ENSLAIG00005001648	0	0	0	0	0	0
ENSLAIG00005001649	380	380	213	254	698	169
ENSLAIG00005001650	305	251	326	445	300	307
ENSLAIG00005001651	217	312	173	282	325	179
ENSLAIG00005001652	0	0	0	0	0	0
ENSLAIG00005001653	413	260	216	414	214	297
ENSLAIG00005001654	0	0	0	0	7	0
ENSLAIG00005001655	493	300	218	487	288	195
ENSLAIG00005001656	203	83	61	156	50	74
ENSLAIG00005001657	347	310	204	436	301	192
ENSLAIG00005001658	189	73	69	151	83	61
ENSLAIG00005001659	13	8	18	12	18	32
ENSLAIG00005001660	208	223	161	246	208	170
ENSLAIG00005001662	0	0	0	0	0	0
ENSLAIG00005001663	2663	2233	1615	3144	1846	1517
ENSLAIG00005001664	5	7	0	9	5	3
ENSLAIG00005001665	1	0	10	0	14	1
ENSLAIG00005001666	9652	6819	5396	11312	7058	5349
ENSLAIG00005001667	568	506	360	643	580	472
ENSLAIG00005001668	21	30	52	30	34	54
ENSLAIG00005001669	3671	1957	887	3706	4155	938
ENSLAIG00005001670	256	131	68	253	94	66
ENSLAIG00005001671	3	8	8	1	12	3
ENSLAIG00005001672	115	83	97	138	114	90
ENSLAIG00005001673	834	777	552	985	712	529
ENSLAIG00005001674	1	2	0	2	7	2
ENSLAIG00005001675	3110	3802	1980	5575	3763	1837
ENSLAIG00005001676	404	510	386	565	620	454
ENSLAIG00005001677	924	751	468	1092	758	438
ENSLAIG00005001678	621	376	356	600	371	413
ENSLAIG00005001679	5	17	0	4	79	0
ENSLAIG00005001680	205	187	162	218	200	176
ENSLAIG00005001682	39	43	44	79	51	59
ENSLAIG00005001683	2	0	0	1	0	0
ENSLAIG00005001684	0	2	0	0	7	0
ENSLAIG00005001685	395	270	337	418	288	270
ENSLAIG00005001689	0	0	0	1	0	0
ENSLAIG00005001690	423	532	152	620	609	176
ENSLAIG00005001691	7	13	6	22	17	3
ENSLAIG00005001692	246	245	672	391	227	799
ENSLAIG00005001693	2763	2526	1249	3546	2459	1119
ENSLAIG00005001694	0	0	10	0	0	7
ENSLAIG00005001695	480	396	497	459	351	475
ENSLAIG00005001696	2649	2629	1020	3051	2557	903
ENSLAIG00005001697	32405	23935	8771	38679	19594	7203
ENSLAIG00005001698	489	514	504	620	501	563
ENSLAIG00005001699	0	84	1162	1	662	554
ENSLAIG00005001701	99	77	73	152	87	41
ENSLAIG00005001702	0	0	0	3	1	0
ENSLAIG00005001704	0	0	12	0	0	17
ENSLAIG00005001705	112	109	138	136	134	121
ENSLAIG00005001706	1769	1561	870	2233	1451	994
ENSLAIG00005001707	0	0	0	0	0	0
ENSLAIG00005001709	365	320	243	438	372	274
ENSLAIG00005001710	544	527	592	798	578	656
ENSLAIG00005001711	32	3762	66	181	5254	67
ENSLAIG00005001712	1779	1601	1408	2144	1666	1314
ENSLAIG00005001713	179	78	437209	20	492	369713
ENSLAIG00005001714	0	0	0	0	0	0
ENSLAIG00005001715	19	37	0	52	121	1
ENSLAIG00005001716	4	3	3	1	5	1
ENSLAIG00005001718	1136	787	377	1234	722	399
ENSLAIG00005001719	415	353	237	429	340	237
ENSLAIG00005001721	1472	1359	1188	1708	1531	1043
ENSLAIG00005001722	0	0	0	2	0	1
ENSLAIG00005001724	546	369	238	606	315	262
ENSLAIG00005001725	0	0	1	0	1	0
ENSLAIG00005001726	1928	4411	571	2709	4404	545
ENSLAIG00005001727	476	383	255	627	373	203
ENSLAIG00005001728	1695	1670	1120	2428	1677	1081
ENSLAIG00005001730	53	5	31	58	6	24
ENSLAIG00005001731	818	982	1376	1458	1110	1094
ENSLAIG00005001732	5	1	4	6	3	2
ENSLAIG00005001733	1	8	0	8	6	0
ENSLAIG00005001734	819	453	473	831	264	333
ENSLAIG00005001735	2146	2623	589	4152	2988	422
ENSLAIG00005001736	19	26	3	21	21	1
ENSLAIG00005001737	0	1	0	0	2	0
ENSLAIG00005001739	9	5	1	10	7	0
ENSLAIG00005001740	777	837	391	1059	815	391
ENSLAIG00005001741	5	2	0	10	0	0
ENSLAIG00005001742	1617	8031	13	5818	8820	19
ENSLAIG00005001743	0	0	0	0	0	0
ENSLAIG00005001744	1740	1849	1398	2354	1989	1263
ENSLAIG00005001746	0	0	0	3	0	1
ENSLAIG00005001747	13	2	4	11	2	7
ENSLAIG00005001748	5	0	1	6	0	1
ENSLAIG00005001749	76	15	112	119	12	126
ENSLAIG00005001750	6	0	0	6	0	3
ENSLAIG00005001752	1383	1696	784	1979	1708	850
ENSLAIG00005001753	2	0	8	4	3	5
ENSLAIG00005001755	0	1	6	1	0	8
ENSLAIG00005001757	1	5	0	0	5	0
ENSLAIG00005001758	0	1	0	2	0	0
ENSLAIG00005001759	3	31	6	0	24	9
ENSLAIG00005001760	0	1	0	0	0	0
ENSLAIG00005001761	0	3	0	2	1	2
ENSLAIG00005001762	331	273	105	322	260	146
ENSLAIG00005001763	0	1	0	0	0	0
ENSLAIG00005001764	30	115	335	55	65	294
ENSLAIG00005001765	3	2	0	5	5	0
ENSLAIG00005001766	315	244	157	360	259	160
ENSLAIG00005001767	112	47	10	191	29	15
ENSLAIG00005001769	0	0	0	0	0	0
ENSLAIG00005001770	1307	862	649	1198	806	746
ENSLAIG00005001771	709	747	419	982	811	449
ENSLAIG00005001772	0	0	1	0	0	2
ENSLAIG00005001774	1	1	2	2	3	0
ENSLAIG00005001775	0	0	0	0	0	0
ENSLAIG00005001778	134	131	108	203	158	101
ENSLAIG00005001779	0	0	5	0	0	11
ENSLAIG00005001781	0	0	0	0	0	0
ENSLAIG00005001782	748	946	559	1614	538	608
ENSLAIG00005001784	111	315	88	128	372	75
ENSLAIG00005001785	0	0	0	0	0	0
ENSLAIG00005001787	4780	4501	2604	6142	5158	2948
ENSLAIG00005001788	1	0	1	1	1	1
ENSLAIG00005001789	188	185	54	227	135	64
ENSLAIG00005001790	556	719	256	597	784	335
ENSLAIG00005001791	59	24	12	4	0	1
ENSLAIG00005001792	0	1	6	0	0	1
ENSLAIG00005001793	274	215	115015	487	765	75152
ENSLAIG00005001794	0	0	0	1	1	0
ENSLAIG00005001795	558	499	237	830	463	276
ENSLAIG00005001797	18467	23108	4590	33764	22443	4633
ENSLAIG00005001798	73	33	52	71	40	61
ENSLAIG00005001799	1	0	3	0	0	0
ENSLAIG00005001800	23	69	13	35	51	8
ENSLAIG00005001801	1357	1227	454	1403	1250	390
ENSLAIG00005001802	1808	1620	949	2224	1590	906
ENSLAIG00005001803	5749	5729	2394	7659	5742	2141
ENSLAIG00005001805	1	1	0	0	0	0
ENSLAIG00005001806	7647	4231	8835	13341	3832	7570
ENSLAIG00005001807	198	250	296	281	227	324
ENSLAIG00005001808	7	5	0	12	1	0
ENSLAIG00005001811	3260	4183	2288	4429	3966	1952
ENSLAIG00005001812	1929	1569	628	2324	1554	636
ENSLAIG00005001813	433	340	1861	511	341	1695
ENSLAIG00005001815	1624	1710	1161	2256	1955	1037
ENSLAIG00005001817	634	377	258	668	428	270
ENSLAIG00005001818	0	0	0	0	0	1
ENSLAIG00005001819	1	0	0	1	0	0
ENSLAIG00005001821	0	0	7	5	11	6
ENSLAIG00005001822	882	1399	1167	1840	1687	880
ENSLAIG00005001823	576	793	816	706	1121	795
ENSLAIG00005001824	0	1	0	0	2	1
ENSLAIG00005001825	86	70	48	99	60	49
ENSLAIG00005001826	675	688	565	843	715	637
ENSLAIG00005001827	0	0	0	0	1	0
ENSLAIG00005001828	21	26	6	18	14	5
ENSLAIG00005001829	2	12	1	7	11	2
ENSLAIG00005001830	7	1	5	11	1	3
ENSLAIG00005001832	0	0	0	0	0	0
ENSLAIG00005001833	0	0	0	0	0	0
ENSLAIG00005001834	0	0	0	0	0	0
ENSLAIG00005001835	299	191	283	333	182	263
ENSLAIG00005001836	0	1	2	2	4	0
ENSLAIG00005001837	5	1	6	0	0	8
ENSLAIG00005001839	1074	855	435	1382	806	368
ENSLAIG00005001840	5	3	10	10	24	3
ENSLAIG00005001841	114	98	93	131	87	105
ENSLAIG00005001843	625	501	1048	794	600	942
ENSLAIG00005001844	1039	2968	1541	2034	2106	1758
ENSLAIG00005001846	36	223	7990	67	1726	5390
ENSLAIG00005001847	15	21	4	51	35	2
ENSLAIG00005001849	36	53	301	9	61	324
ENSLAIG00005001850	0	0	0	0	0	0
ENSLAIG00005001851	5702	5065	2693	7090	3735	2897
ENSLAIG00005001852	473	378	258	544	355	276
ENSLAIG00005001853	0	0	0	0	0	0
ENSLAIG00005001854	0	0	0	0	0	0
ENSLAIG00005001855	344	254	155	483	314	146
ENSLAIG00005001856	0	0	0	0	0	0
ENSLAIG00005001857	294	191	161	298	179	174
ENSLAIG00005001858	611	417	299	699	413	333
ENSLAIG00005001860	783	817	575	1038	782	568
ENSLAIG00005001861	0	0	0	0	0	0
ENSLAIG00005001862	201	197	27	257	172	32
ENSLAIG00005001863	183	138	31	242	136	33
ENSLAIG00005001864	625	649	385	882	661	291
ENSLAIG00005001865	334	381	398	782	530	305
ENSLAIG00005001866	3634	4281	1422	4192	6461	1465
ENSLAIG00005001867	9	7	4	6	3	2
ENSLAIG00005001868	301	276	214	373	282	192
ENSLAIG00005001869	575	616	385	728	717	390
ENSLAIG00005001870	0	0	0	0	0	0
ENSLAIG00005001871	6	0	18	5	1	8
ENSLAIG00005001872	146	145	54	274	152	54
ENSLAIG00005001873	790	804	620	1451	795	548
ENSLAIG00005001874	146	99	75	144	108	98
ENSLAIG00005001875	148	121	95	172	121	100
ENSLAIG00005001876	2569	2387	1570	2849	1933	1685
ENSLAIG00005001877	243	191	173	255	168	150
ENSLAIG00005001878	206	187	148	239	208	114
ENSLAIG00005001879	178	189	123	280	190	126
ENSLAIG00005001880	2303	2081	829	2389	1981	700
ENSLAIG00005001881	0	0	0	0	1	0
ENSLAIG00005001884	1552	1667	1105	2181	1762	1002
ENSLAIG00005001885	474	350	54	537	259	62
ENSLAIG00005001886	0	3	21	1	2	37
ENSLAIG00005001887	0	0	0	0	0	0
ENSLAIG00005001890	7	7	1	18	18	5
ENSLAIG00005001894	311	196	273	342	171	182
ENSLAIG00005001895	904	860	562	1100	923	535
ENSLAIG00005001898	13	2	6	13	3	9
ENSLAIG00005001899	7	8	7	10	8	8
ENSLAIG00005001900	879	739	653	1291	723	824
ENSLAIG00005001902	0	0	0	1	3	0
ENSLAIG00005001903	415	320	161	570	320	113
ENSLAIG00005001904	66	69	35	65	49	29
ENSLAIG00005001905	23	21	16	25	16	5
ENSLAIG00005001906	1314	700	635	1259	622	584
ENSLAIG00005001907	0	0	0	0	0	0
ENSLAIG00005001908	9	3	4	6	18	4
ENSLAIG00005001909	9402	8955	1946	11590	7062	1492
ENSLAIG00005001910	0	6	2	1	6	9
ENSLAIG00005001911	278	240	206	409	252	227
ENSLAIG00005001912	9	12	8	19	4	2
ENSLAIG00005001913	204	144	128	194	130	85
ENSLAIG00005001914	1	0	2	2	0	2
ENSLAIG00005001915	3244	1864	1385	3426	1498	1303
ENSLAIG00005001916	0	0	0	1	0	0
ENSLAIG00005001917	2812	2842	1493	3941	2814	1307
ENSLAIG00005001918	25	6	49	77	12	31
ENSLAIG00005001919	306	258	169	306	276	154
ENSLAIG00005001921	1370	2036	1090	1710	1936	1033
ENSLAIG00005001922	3	5	13	3	2	8
ENSLAIG00005001923	0	0	0	0	0	0
ENSLAIG00005001926	168	123	109	224	175	83
ENSLAIG00005001927	3223	2568	1147	3776	2157	1009
ENSLAIG00005001928	858	2480	99	1445	2126	118
ENSLAIG00005001930	2004	2231	2383	2663	2511	2297
ENSLAIG00005001932	1	3	0	0	0	0
ENSLAIG00005001934	0	0	3	0	0	0
ENSLAIG00005001935	480	337	124	593	229	85
ENSLAIG00005001936	42	0	1	62	0	3
ENSLAIG00005001937	779	1538	1499	1579	2492	1373
ENSLAIG00005001939	0	0	6	0	1	0
ENSLAIG00005001941	16	9	15	27	11	4
ENSLAIG00005001943	355	318	178	406	345	195
ENSLAIG00005001945	0	2	12	0	0	15
ENSLAIG00005001947	1731	1038	1363	2786	1124	1177
ENSLAIG00005001949	3622	1383	437	3766	975	439
ENSLAIG00005001951	539	1305	738	687	1527	715
ENSLAIG00005001952	27152	47651	27285	44238	57788	21041
ENSLAIG00005001953	311	325	197	389	318	183
ENSLAIG00005001954	0	0	0	0	0	0
ENSLAIG00005001956	12529	17536	4577	17594	29965	4138
ENSLAIG00005001958	1	0	0	5	0	0
ENSLAIG00005001962	1	4	5	9	2	11
ENSLAIG00005001963	3196	2066	889	3590	2110	897
ENSLAIG00005001965	1874	1192	458	2145	1106	500
ENSLAIG00005001967	2072	1945	1686	2617	1913	1461
ENSLAIG00005001968	7	2	3	1	1	1
ENSLAIG00005001970	2356	2601	981	2795	3107	961
ENSLAIG00005001971	130	134	172	161	115	203
ENSLAIG00005001972	30497	24226	9543	39151	20251	7292
ENSLAIG00005001973	308	291	258	428	263	306
ENSLAIG00005001976	246	166	130	287	193	140
ENSLAIG00005001977	26198	64290	5543	38154	74730	5095
ENSLAIG00005001978	537	505	334	669	581	352
ENSLAIG00005001979	183	175	156	292	214	160
ENSLAIG00005001980	7	13	5	8	17	4
ENSLAIG00005001981	750	929	850	1471	1052	586
ENSLAIG00005001982	530	703	565	807	699	625
ENSLAIG00005001983	135	85	37	215	92	36
ENSLAIG00005001984	814	891	480	903	760	484
ENSLAIG00005001985	186	294	287	230	264	344
ENSLAIG00005001986	43	11	18	94	5	53
ENSLAIG00005001987	116	171	213	186	132	155
ENSLAIG00005001988	566	460	170	639	574	174
ENSLAIG00005001989	1822	1601	1093	2097	1768	1199
ENSLAIG00005001990	55945	48135	33523	59246	41191	30568
ENSLAIG00005001991	552	1392	295	864	1122	288
ENSLAIG00005001992	68	138	82	126	116	78
ENSLAIG00005001993	1537	1775	2003	1884	2117	2210
ENSLAIG00005001994	451	263	208	424	281	148
ENSLAIG00005001995	1218	885	283	1358	612	182
ENSLAIG00005001996	670	464	209	630	433	272
ENSLAIG00005001997	0	0	0	0	0	0
ENSLAIG00005001998	189	111	60	186	90	71
ENSLAIG00005002001	0	2	0	2	5	2
ENSLAIG00005002002	479	389	272	503	395	288
ENSLAIG00005002003	165	200	252	174	118	183
ENSLAIG00005002004	790	284	61	774	290	62
ENSLAIG00005002005	422	533	367	659	643	347
ENSLAIG00005002006	0	41	0	0	33	0
ENSLAIG00005002007	6	23	3	49	33	1
ENSLAIG00005002008	436	327	225	525	294	170
ENSLAIG00005002009	239	247	165	298	219	185
ENSLAIG00005002010	46108	58447	67189	70612	81907	60500
ENSLAIG00005002011	0	0	4	0	0	8
ENSLAIG00005002012	3723	3017	2017	5375	3111	1522
ENSLAIG00005002013	49	120	84	76	108	88
ENSLAIG00005002014	2	0	2	0	1	3
ENSLAIG00005002015	78	40	23	89	35	18
ENSLAIG00005002016	2035	2540	876	2720	2799	860
ENSLAIG00005002017	148	105	54	193	86	48
ENSLAIG00005002018	7	3	43	2	3	46
ENSLAIG00005002020	1294	1411	1332	1548	1397	1260
ENSLAIG00005002022	352	650	540	591	757	651
ENSLAIG00005002023	2152	4250	38	2410	3984	45
ENSLAIG00005002024	210	130	87	249	114	88
ENSLAIG00005002025	10	8	43	14	7	31
ENSLAIG00005002026	0	0	0	1	3	0
ENSLAIG00005002027	945	549	308	1216	804	421
ENSLAIG00005002028	1	19	126204	11	73	150006
ENSLAIG00005002029	55	39	16	55	48	6
ENSLAIG00005002031	8837	6044	3264	10085	5041	2516
ENSLAIG00005002032	1	1	0	0	3	0
ENSLAIG00005002033	1280	1013	785	1597	1074	876
ENSLAIG00005002034	1149	1327	970	1614	1580	1034
ENSLAIG00005002035	38	30	575	36	110	551
ENSLAIG00005002036	2	0	0	0	0	0
ENSLAIG00005002037	16631	23297	5365	24282	22558	4209
ENSLAIG00005002038	201	213	86	264	236	108
ENSLAIG00005002039	385	240	260	385	275	259
ENSLAIG00005002040	16	195	4	37	178	1
ENSLAIG00005002041	267	180	153	289	144	196
ENSLAIG00005002042	3	7	56	4	3	67
ENSLAIG00005002043	252	160	193	293	229	211
ENSLAIG00005002044	422	369	272	483	336	246
ENSLAIG00005002047	367	483	318	474	647	205
ENSLAIG00005002048	10	16	1	16	12	1
ENSLAIG00005002049	130	111	90	169	157	88
ENSLAIG00005002052	2583	2056	1342	3083	1978	1302
ENSLAIG00005002053	0	0	0	0	1	0
ENSLAIG00005002055	1	1	3	3	0	0
ENSLAIG00005002056	798	488	3359	998	820	4739
ENSLAIG00005002057	23	48	52	31	26	46
ENSLAIG00005002059	152	49	9	98	40	7
ENSLAIG00005002060	122	103	78	175	136	81
ENSLAIG00005002061	143	916	6612	283	3312	5573
ENSLAIG00005002062	1279	834	869	1404	889	773
ENSLAIG00005002063	11590	3847	1255	10434	2659	1101
ENSLAIG00005002064	1743	1498	672	2109	1555	623
ENSLAIG00005002065	230	206	102	315	170	109
ENSLAIG00005002066	2	0	8	1	9	83
ENSLAIG00005002067	8	9	5	18	6	2
ENSLAIG00005002069	2220	1757	1028	2667	1588	914
ENSLAIG00005002070	7280	5719	5934	8502	6245	6410
ENSLAIG00005002071	309	566	361	399	613	391
ENSLAIG00005002072	155	137	86	234	124	90
ENSLAIG00005002073	318	301	260	377	312	310
ENSLAIG00005002074	1758	2207	2654	2794	3042	2350
ENSLAIG00005002075	16835	15759	6964	20392	15075	5887
ENSLAIG00005002076	0	0	0	0	0	0
ENSLAIG00005002077	924	671	272	1170	713	301
ENSLAIG00005002078	719	645	500	913	601	570
ENSLAIG00005002079	0	0	1	0	0	3
ENSLAIG00005002080	368	258	185	456	272	178
ENSLAIG00005002081	2686	2196	1101	2851	1887	969
ENSLAIG00005002083	33	20	19	54	28	18
ENSLAIG00005002084	1	2	10	9	10	3
ENSLAIG00005002086	53	27	19	54	32	28
ENSLAIG00005002087	17	40	2	30	70	3
ENSLAIG00005002088	767	1560	66	3132	2152	68
ENSLAIG00005002089	11379	6143	6936	10764	6819	7391
ENSLAIG00005002090	831	835	636	959	896	590
ENSLAIG00005002091	56	113	1	143	127	0
ENSLAIG00005002092	610	308	77	640	198	61
ENSLAIG00005002093	272	601	557	613	1071	645
ENSLAIG00005002094	22	38	42	26	73	47
ENSLAIG00005002095	1	0	4	0	1	2
ENSLAIG00005002096	1	2	2	7	3	3
ENSLAIG00005002097	418	434	77	816	475	65
ENSLAIG00005002098	121	114	37	151	85	36
ENSLAIG00005002099	0	0	0	0	0	0
ENSLAIG00005002100	1	0	0	0	1	1
ENSLAIG00005002101	459	404	312	666	403	230
ENSLAIG00005002102	368	397	274	501	372	198
ENSLAIG00005002103	4355	4532	2951	6331	4090	2405
ENSLAIG00005002104	6764	32087	45375	9403	47125	41595
ENSLAIG00005002105	279	259	182	277	246	189
ENSLAIG00005002106	173	146	218	202	155	236
ENSLAIG00005002107	0	0	1	1	0	0
ENSLAIG00005002108	531	414	287	610	449	264
ENSLAIG00005002110	2721	2123	1109	4512	2315	1089
ENSLAIG00005002112	146	86	80	148	98	58
ENSLAIG00005002113	0	0	0	0	0	0
ENSLAIG00005002114	14	18	5	19	11	13
ENSLAIG00005002115	15	6	9	28	17	20
ENSLAIG00005002116	425	1157	544	542	1059	481
ENSLAIG00005002117	730	529	539	969	556	520
ENSLAIG00005002118	105	134	24	114	112	29
ENSLAIG00005002119	898	1766	1812	1702	2140	1488
ENSLAIG00005002120	1999	2871	1442	2974	2626	1046
ENSLAIG00005002121	430	378	270	544	386	284
ENSLAIG00005002122	4	2	8	0	2	5
ENSLAIG00005002124	0	0	1	0	0	0
ENSLAIG00005002125	1319	908	1430	1520	955	1336
ENSLAIG00005002126	589	608	364	684	632	393
ENSLAIG00005002127	62	83	74	98	104	92
ENSLAIG00005002128	2796	3203	1907	5021	3714	1598
ENSLAIG00005002129	1211	940	500	1345	961	507
ENSLAIG00005002130	416	7811	56914	878	19687	51229
ENSLAIG00005002132	520	988	803	832	905	846
ENSLAIG00005002133	2375	1865	1456	2601	1611	1381
ENSLAIG00005002135	2	3	0	3	2	0
ENSLAIG00005002136	425	921	3105	459	1010	2514
ENSLAIG00005002137	299	237	205	261	209	258
ENSLAIG00005002138	2128	2070	1812	2985	2322	1499
ENSLAIG00005002139	338	358	274	492	347	223
ENSLAIG00005002140	908	631	671	883	648	608
ENSLAIG00005002141	0	1	0	1	0	0
ENSLAIG00005002142	129	122	89	158	118	120
ENSLAIG00005002143	140	330	516	233	365	384
ENSLAIG00005002144	137	23	361	175	209	515
ENSLAIG00005002145	483	79	189	824	83	245
ENSLAIG00005002146	1317	1291	429	1646	1076	423
ENSLAIG00005002147	966	2852	2231	1960	3181	1781
ENSLAIG00005002148	3851	3542	4081	5643	4084	3672
ENSLAIG00005002149	155	114	108	176	132	111
ENSLAIG00005002150	490	337	108	541	360	150
ENSLAIG00005002151	13	15	17	12	29	23
ENSLAIG00005002152	69	116	162	119	100	126
ENSLAIG00005002153	0	0	0	0	0	0
ENSLAIG00005002154	2591	2310	534	3267	2233	603
ENSLAIG00005002155	415	421	366	540	425	449
ENSLAIG00005002156	1895	1971	922	2171	2019	931
ENSLAIG00005002157	8033	6513	4820	9153	5585	4376
ENSLAIG00005002159	1	1	3	14	3	0
ENSLAIG00005002160	0	0	1185	0	10	607
ENSLAIG00005002161	872	844	504	1120	839	392
ENSLAIG00005002162	2154	4051	7207	4803	2820	5219
ENSLAIG00005002163	278	203	134	395	213	166
ENSLAIG00005002164	137	1847	368725	1061	2498	351440
ENSLAIG00005002165	1966	1814	955	2670	1784	829
ENSLAIG00005002166	26	16	9	49	39	12
ENSLAIG00005002169	741	596	298	960	605	258
ENSLAIG00005002171	1138	1005	956	1436	1454	1037
ENSLAIG00005002172	8399	5146	1147	11227	4037	1192
ENSLAIG00005002173	3	2	1	4	6	1
ENSLAIG00005002174	421	382	345	541	470	268
ENSLAIG00005002175	263	331	204	299	293	237
ENSLAIG00005002176	5	3	1	8	6	0
ENSLAIG00005002177	47	34	34	83	41	48
ENSLAIG00005002178	0	0	1	0	0	0
ENSLAIG00005002180	137	165	62	220	173	71
ENSLAIG00005002181	260	261	227	379	334	290
ENSLAIG00005002182	7414	6430	7348	9393	16741	4531
ENSLAIG00005002183	66	30	23	35	14	20
ENSLAIG00005002184	1140	794	466	1283	648	431
ENSLAIG00005002185	4	6	7	11	6	5
ENSLAIG00005002186	71279	33101	34340	86611	22540	28757
ENSLAIG00005002187	0	0	0	0	1	0
ENSLAIG00005002188	239	52	6	480	39	21
ENSLAIG00005002189	0	0	3	2	1	4
ENSLAIG00005002190	187	165	54	249	157	48
ENSLAIG00005002192	328	484	3682	353	874	3226
ENSLAIG00005002193	163	104	79	160	88	77
ENSLAIG00005002194	694	382	340	717	445	363
ENSLAIG00005002196	1409	1294	1073	2076	1321	1042
ENSLAIG00005002197	1	0	0	0	0	0
ENSLAIG00005002198	222	146	152	224	157	192
ENSLAIG00005002199	1020	977	669	1470	976	583
ENSLAIG00005002200	0	0	0	0	0	4
ENSLAIG00005002201	417	346	287	430	390	319
ENSLAIG00005002202	0	5	419	4	17	433
ENSLAIG00005002203	445	385	210	500	351	214
ENSLAIG00005002204	1814	1759	891	2604	1702	726
ENSLAIG00005002205	0	7	0	0	1	0
ENSLAIG00005002206	1559	903	447	1585	742	307
ENSLAIG00005002207	91	106	443	96	93	382
ENSLAIG00005002208	0	0	37	0	3	15
ENSLAIG00005002209	0	0	0	0	0	0
ENSLAIG00005002210	610	803	529	1009	857	393
ENSLAIG00005002212	11	11	13	12	12	7
ENSLAIG00005002213	0	0	0	0	0	0
ENSLAIG00005002214	269	281	210	302	258	243
ENSLAIG00005002215	131	233	90	167	262	100
ENSLAIG00005002216	1791	1750	1094	2155	1672	812
ENSLAIG00005002217	274	214	120	337	241	123
ENSLAIG00005002218	2	0	0	0	0	0
ENSLAIG00005002220	122	22	1865	73	18	1658
ENSLAIG00005002221	0	1	4	0	2	1
ENSLAIG00005002222	638	488	257	787	408	248
ENSLAIG00005002223	2576	2744	1175	3288	3142	1115
ENSLAIG00005002224	0	0	0	0	0	0
ENSLAIG00005002225	2964	2330	1041	3320	2157	904
ENSLAIG00005002226	44	182	43	107	170	48
ENSLAIG00005002227	39840	113720	51417	77720	122917	45087
ENSLAIG00005002228	107	60	10	94	59	17
ENSLAIG00005002229	443	289	282	552	329	295
ENSLAIG00005002230	1712	1902	988	2292	2034	804
ENSLAIG00005002231	187	193	218	236	152	280
ENSLAIG00005002232	0	0	0	4	0	0
ENSLAIG00005002233	599	583	241	645	780	251
ENSLAIG00005002234	794	619	253	1186	706	307
ENSLAIG00005002235	542	353	205	768	392	188
ENSLAIG00005002236	1777	1040	737	1876	1005	746
ENSLAIG00005002239	608	178	142	476	149	155
ENSLAIG00005002240	1	0	1	1	9	3
ENSLAIG00005002241	8	49	19	28	40	23
ENSLAIG00005002242	2378	3103	325	3516	2602	308
ENSLAIG00005002243	101	94	117	140	152	82
ENSLAIG00005002244	4247	3910	1891	4776	4269	1950
ENSLAIG00005002245	0	0	1	3	0	0
ENSLAIG00005002246	0	1	0	0	1	0
ENSLAIG00005002247	1750	1383	3622	1153	753	2903
ENSLAIG00005002248	469	477	341	603	498	299
ENSLAIG00005002249	1	7	5	4	14	6
ENSLAIG00005002251	12948	12165	3911	18025	12754	3695
ENSLAIG00005002252	165	132	59	179	159	63
ENSLAIG00005002253	0	2	19	0	7	11
ENSLAIG00005002255	468	355	392	478	355	407
ENSLAIG00005002256	1	0	0	0	0	0
ENSLAIG00005002257	604	552	268	969	569	234
ENSLAIG00005002258	1037	1537	132	1660	1049	159
ENSLAIG00005002260	2	14	144	3	14	89
ENSLAIG00005002261	95	77	38	91	80	26
ENSLAIG00005002262	949	807	482	1057	823	554
ENSLAIG00005002263	812	828	353	943	889	416
ENSLAIG00005002264	854	387	257	952	453	219
ENSLAIG00005002265	1	0	0	1	0	0
ENSLAIG00005002266	446	527	488	545	503	518
ENSLAIG00005002267	5505	4030	1929	6049	7309	1543
ENSLAIG00005002268	4650	4790	1394	6633	4705	1283
ENSLAIG00005002270	403	288	312	502	322	289
ENSLAIG00005002271	394	255	261	385	286	288
ENSLAIG00005002273	987	1178	531	1434	1200	506
ENSLAIG00005002275	0	0	0	0	3	1
ENSLAIG00005002277	1470	1155	1062	1586	1169	1140
ENSLAIG00005002278	19	1	166	12	11	186
ENSLAIG00005002279	0	0	0	0	0	0
ENSLAIG00005002281	20	10	1	42	4	4
