HMEL010683g1.t1	HMEL010683g1	HMEL010683g1
HMEL010680g2.t1	HMEL010680g2	HMEL010680g2
HMEL010676g1.t1	HMEL010676g1	HMEL010676g1
HMEL010666g2.t1	HMEL010666g2	HMEL010666g2
HMEL010666g1.t1	HMEL010666g1	HMEL010666g1
HMEL010665g1.t1	HMEL010665g1	HMEL010665g1
HMEL010663g1.t1	HMEL010663g1	HMEL010663g1
HMEL010660g1.t1	HMEL010660g1	HMEL010660g1
HMEL010653g1.t1	HMEL010653g1	HMEL010653g1
HMEL008625g1.t2	HMEL008625g1	HMEL008625g1
HMEL008625g1.t1	HMEL008625g1	HMEL008625g1
HMEL003521g1.t1	HMEL003521g1	HMEL003521g1
HMEL003522g1.t1	HMEL003522g1	HMEL003522g1
HMEL014462g1.t1	HMEL014462g1	HMEL014462g1
HMEL002743g1.t1	HMEL002743g1	HMEL002743g1
HMEL012019g1.t1	HMEL012019g1	HMEL012019g1
HMEL003233g1.t1	HMEL003233g1	HMEL003233g1
HMEL003232g1.t1	HMEL003232g1	HMEL003232g1
HMEL008682g1.t1	HMEL008682g1	HMEL008682g1
HMEL008682g1.t2	HMEL008682g1	HMEL008682g1
HMEL008685g2.t1	HMEL008685g2	HMEL008685g2
HMEL008685g4.t1	HMEL008685g4	HMEL008685g4
HMEL008685g4.t2	HMEL008685g4	HMEL008685g4
HMEL008685g5.t1	HMEL008685g5	HMEL008685g5
HMEL008688g1.t1	HMEL008688g1	HMEL008688g1
HMEL015035g2.t1	HMEL015035g2	HMEL015035g2
HMEL015035g1.t1	HMEL015035g1	HMEL015035g1
HMEL035309g1.t1	HMEL035309g1	HMEL035309g1
HMEL035308g1.t1	HMEL035308g1	HMEL035308g1
HMEL003492g1.t1	HMEL003492g1	HMEL003492g1
HMEL003491g1.t1	HMEL003491g1	HMEL003491g1
HMEL006441g1.t1	HMEL006441g1	HMEL006441g1
HMEL006441g1.t2	HMEL006441g1	HMEL006441g1
HMEL006444g1.t1	HMEL006444g1	HMEL006444g1
HMEL006453g1.t1	HMEL006453g1	HMEL006453g1
HMEL006455g1.t1	HMEL006455g1	HMEL006455g1
HMEL035292g1.t1	HMEL035292g1	HMEL035292g1
HMEL008161g2.t2	HMEL008161g2	HMEL008161g2
HMEL008161g2.t1	HMEL008161g2	HMEL008161g2
HMEL008161g1.t1	HMEL008161g1	HMEL008161g1
HMEL035291g1.t1	HMEL035291g1	HMEL035291g1
HMEL035290g1.t1	HMEL035290g1	HMEL035290g1
HMEL021670g2.t1	HMEL021670g2	HMEL021670g2
HMEL011613g1.t1	HMEL011613g1	HMEL011613g1
HMEL035288g1.t1	HMEL035288g1	HMEL035288g1
HMEL035286g1.t1	HMEL035286g1	HMEL035286g1
HMEL035286g1.t2	HMEL035286g1	HMEL035286g1
HMEL002326g2.t1	HMEL002326g2	HMEL002326g2
HMEL005143g1.t1	HMEL005143g1	HMEL005143g1
